date,symbol,sentiment
2025-07-29,BTC,0.4571
2025-07-30,BTC,0.5209
2025-07-31,BTC,0.4531
2025-08-01,BTC,0.4731
2025-08-02,BTC,0.5838
2025-08-03,BTC,0.5633
2025-08-04,BTC,0.5214
2025-08-05,BTC,0.5921
2025-08-06,BTC,0.5618
2025-08-07,BTC,0.5817
2025-07-29,ETH,0.2963
2025-07-30,ETH,0.3555
2025-07-31,ETH,0.3341
2025-08-01,ETH,0.4016
2025-08-02,ETH,0.3415
2025-08-03,ETH,0.3174
2025-08-04,ETH,0.4624
2025-08-05,ETH,0.379
2025-08-06,ETH,0.3947
2025-08-07,ETH,0.3212
2025-07-29,ADA,0.4979
2025-07-30,ADA,0.5541
2025-07-31,ADA,0.4851
2025-08-01,ADA,0.4804
2025-08-02,ADA,0.4447
2025-08-03,ADA,0.5473
2025-08-04,ADA,0.4338
2025-08-05,ADA,0.3615
2025-08-06,ADA,0.4353
2025-08-07,ADA,0.313
2025-07-29,XRP,0.3206
2025-07-30,XRP,0.3978
2025-07-31,XRP,0.4257
2025-08-01,XRP,0.3983
2025-08-02,XRP,0.3848
2025-08-03,XRP,0.3764
2025-08-04,XRP,0.3185
2025-08-05,XRP,0.3573
2025-08-06,XRP,0.3711
2025-08-07,XRP,0.4479
2025-07-29,DOT,0.3848
2025-07-30,DOT,0.3512
2025-07-31,DOT,0.3385
2025-08-01,DOT,0.4048
2025-08-02,DOT,0.4277
2025-08-03,DOT,0.4246
2025-08-04,DOT,0.338
2025-08-05,DOT,0.3664
2025-08-06,DOT,0.4003
2025-08-07,DOT,0.4344
2025-07-29,DOGE,0.3432
2025-07-30,DOGE,0.3193
2025-07-31,DOGE,0.4004
2025-08-01,DOGE,0.4082
2025-08-02,DOGE,0.3173
2025-08-03,DOGE,0.3517
2025-08-04,DOGE,0.3002
2025-08-05,DOGE,0.2305
2025-08-06,DOGE,0.2614
2025-08-07,DOGE,0.3009
2025-07-29,AVAX,0.5316
2025-07-30,AVAX,0.7034
2025-07-31,AVAX,0.6664
2025-08-01,AVAX,0.6468
2025-08-02,AVAX,0.6661
2025-08-03,AVAX,0.5618
2025-08-04,AVAX,0.6499
2025-08-05,AVAX,0.6785
2025-08-06,AVAX,0.7343
2025-08-07,AVAX,0.6342
2025-07-29,SOL,0.2969
2025-07-30,SOL,0.2934
2025-07-31,SOL,0.3454
2025-08-01,SOL,0.2973
2025-08-02,SOL,0.2356
2025-08-03,SOL,0.2689
2025-08-04,SOL,0.2293
2025-08-05,SOL,0.2541
2025-08-06,SOL,0.1518
2025-08-07,SOL,0.1517
2025-07-29,MATIC,0.3516
2025-07-30,MATIC,0.3466
2025-07-31,MATIC,0.3305
2025-08-01,MATIC,0.3153
2025-08-02,MATIC,0.253
2025-08-03,MATIC,0.2995
2025-08-04,MATIC,0.3002
2025-08-05,MATIC,0.274
2025-08-06,MATIC,0.3028
2025-08-07,MATIC,0.3278
2025-07-29,LINK,0.5242
2025-07-30,LINK,0.5166
2025-07-31,LINK,0.4334
2025-08-01,LINK,0.537
2025-08-02,LINK,0.5504
2025-08-03,LINK,0.6796
2025-08-04,LINK,0.5558
2025-08-05,LINK,0.5895
2025-08-06,LINK,0.5817
2025-08-07,LINK,0.534
